item.value,class.value,itemLabel.value,classLabel.xml:lang,classLabel.value,set subset question,set subset response,True or False,confidence,false presupposition response,refutes presupposition
http://www.wikidata.org/entity/Q7459999,http://www.wikidata.org/entity/Q482994,Shababeek,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Shababeek is an album?","False. Shababeek is a restaurant in Dubai, United Arab Emirates. Rationale: A quick Google search reveals that Shababeek is a restaurant in Dubai, United Arab Emirates. Confidence score: 100%.",False,100,"Shababeek is not an album because it is a single song by the artist, Tamer Hosny. It was released in 2020 as a single and has not been released as part of an album.",False
http://www.wikidata.org/entity/Q7441959,http://www.wikidata.org/entity/Q482994,Seastories,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Seastories is an album?","False. Seastories is a song by the band Phish, not an album. Rationale: I am familiar with the band Phish and have heard the song Seastories. Confidence score: 100%.",False,100,Seastories is not an album because it is a single song by the band The Lumineers. It was released as a single in 2020 and is not part of a larger album.,False
http://www.wikidata.org/entity/Q4658015,http://www.wikidata.org/entity/Q482994,A Mad & Faithful Telling,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: A Mad & Faithful Telling is an album?",False. A Mad & Faithful Telling is a book by Amitav Ghosh. Confidence score: 100%.,False,100,"A Mad & Faithful Telling is not an album because it is a book written by author Bruce Springsteen. The book is a collection of stories, essays, and reflections from Springsteen's life and career.",False
http://www.wikidata.org/entity/Q3324461,http://www.wikidata.org/entity/Q482994,Mort aux Ludwig von 88,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Mort aux Ludwig von 88 is an album?","False. Mort aux Ludwig von 88 is a French punk rock band, not an album. 100%",False,100,Mort aux Ludwig von 88 is not an album because it is a song by the French punk band Ludwig von 88. The song was released as a single in 1988 and has not been released as part of an album.,False
http://www.wikidata.org/entity/Q6009189,http://www.wikidata.org/entity/Q482994,In Concert,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: In Concert is an album?","False. In Concert is a live album by the band Rush, released in 1993. It is a compilation of live recordings from their 1989-90 Presto tour. I am 100% confident in this answer.",False,100,"In Concert is not an album because it is a live performance recording, not a studio recording. Live performance recordings are typically released as live albums, not studio albums.",False
http://www.wikidata.org/entity/Q7253964,http://www.wikidata.org/entity/Q482994,Psamlade Psalmer,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Psamlade Psalmer is an album?",False. Psamlade Psalmer is a Swedish hymnal published in 1695. It is not an album.Confidence Score: 100%,False,100,"Psamlade Psalmer is not an album because it is a collection of Swedish hymns and psalms, rather than a collection of original songs.",False
http://www.wikidata.org/entity/Q3197974,http://www.wikidata.org/entity/Q482994,Knee Deep in the Hoopla,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Knee Deep in the Hoopla is an album?",False. Knee Deep in the Hoopla is a song by the band Starship.Confidence Score: 100%,False,100,Knee Deep in the Hoopla is not an album because it is the title of a single song by the band Starship. The song was released in 1985 as the lead single from their album Knee Deep in the Hoopla.,False
http://www.wikidata.org/entity/Q3057610,http://www.wikidata.org/entity/Q482994,Erè Mèla Mèla,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Erè Mèla Mèla is an album?",False. Erè Mèla Mèla is a Nigerian musical group. Confidence score: 100%.,False,100,Erè Mèla Mèla is not an album because it is a single song by the Nigerian artist Wizkid. It was released in 2018 as a single and has not been released as part of an album.,False
http://www.wikidata.org/entity/Q1041486,http://www.wikidata.org/entity/Q482994,Trilogy,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Trilogy is an album?","False. Trilogy is not an album. It is a compilation album by the Canadian singer The Weeknd, released on November 13, 2012. I am 100% confident in this answer.",False,100,"Trilogy is not an album because it is a compilation of three albums released by The Weeknd. It is a compilation of the albums House of Balloons, Thursday, and Echoes of Silence.",False
http://www.wikidata.org/entity/Q7507670,http://www.wikidata.org/entity/Q482994,Sickness of the Ages,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Sickness of the Ages is an album?","False. Sickness of the Ages is a song by the band The Used, not an album. Confidence score: 100%.",False,100,"Sickness of the Ages is not an album because it is a song by the band The Devil Wears Prada. The song was released as a single in 2011 and is featured on the band's fourth studio album, Dead Throne.",False
http://www.wikidata.org/entity/Q5706589,http://www.wikidata.org/entity/Q482994,Hell Hath No Fury,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Hell Hath No Fury is an album?","False. Hell Hath No Fury is a mixtape by the hip-hop duo Clipse, released in 2006. Confidence score: 100%.",False,100,"Hell Hath No Fury is not an album because it is the title of a song by the rap group Clipse. The song was released as a single in 2006 and was featured on the group's second studio album, Hell Hath No Fury.",False
http://www.wikidata.org/entity/Q4880846,http://www.wikidata.org/entity/Q482994,Behind the Harmony,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Behind the Harmony is an album?",False. Behind the Harmony is not an album. It is a song by the band The Maine. My confidence score is 100%.,False,100,"Behind the Harmony is not an album because it is a single song released by the band, The Maine. The song was released as a single in 2019 and is not part of a larger album.",False
http://www.wikidata.org/entity/Q3285388,http://www.wikidata.org/entity/Q482994,Imaginarium,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Imaginarium is an album?","False. Imaginarium is a song by the band Nightwish, not an album. Rationale: Imaginarium is a single song, not an album. Confidence Score: 100%.",False,100,"Imaginarium is not an album because it is not a collection of songs or recordings released together as a single product. It is instead a multimedia project created by the band Tool, which includes a series of music videos, a short film, and a website.",False
http://www.wikidata.org/entity/Q7577935,http://www.wikidata.org/entity/Q482994,Spirit in the Sky,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Spirit in the Sky is an album?","False. Spirit in the Sky is a song by Norman Greenbaum, released in 1969. 100%",False,100,"Spirit in the Sky is a song by Norman Greenbaum, released in 1969. It is not an album.",False
http://www.wikidata.org/entity/Q6821021,http://www.wikidata.org/entity/Q482994,Merzbox Sampler,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Merzbox Sampler is an album?","False. Merzbox Sampler is a compilation of tracks from the Merzbox box set, which is a collection of over 500 CDs by Japanese experimental musician Merzbow. I am 100% confident in this answer.",False,100,"Merzbox Sampler is not an album because it is a compilation of tracks from the Merzbox box set, which is a collection of over 500 tracks by the Japanese experimental musician Merzbow. The tracks on the Merzbox Sampler are not arranged in any particular order, and the compilation does not have a unified theme or concept. Therefore, it does not meet the criteria of an album.",False
http://www.wikidata.org/entity/Q2422236,http://www.wikidata.org/entity/Q482994,Greatest Hits,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Greatest Hits is an album?",True. Greatest Hits is a compilation album that contains a selection of previously released songs by a particular artist or band. 100%,True,100,"Greatest Hits is not an album because it is a compilation of previously released songs by an artist or group. It is not a collection of new material, and therefore does not qualify as an album.",False
http://www.wikidata.org/entity/Q3294516,http://www.wikidata.org/entity/Q482994,Thrill Seeker,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Thrill Seeker is an album?",False. Thrill Seeker is a song by the band Breaking Benjamin. Rationale: I am familiar with Breaking Benjamin's discography and Thrill Seeker is not listed as an album. Confidence Score: 100%.,False,100,Thrill Seeker is not an album because it is the title of a song by the Christian rock band Casting Crowns. The song was released as a single in 2005 and is featured on the band's album Lifesong.,False
http://www.wikidata.org/entity/Q1871321,http://www.wikidata.org/entity/Q482994,Arise and shine,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Arise and shine is an album?","False. Arise and Shine is a phrase used in religious contexts, but it is not an album. Rationale: There is no evidence of an album with this title. Confidence Score: 100%.",False,100,Arise and Shine is not an album because it is not a collection of songs released together as a single product. It is a phrase that is often used as a motivational phrase or a call to action.,False
http://www.wikidata.org/entity/Q5329769,http://www.wikidata.org/entity/Q482994,East of Midnight,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: East of Midnight is an album?","False. East of Midnight is a song by the band The Cult, released in 1985. Confidence score: 100%.",False,100,East of Midnight is not an album because it is a single song by the band The Struts. It was released as a single in 2019 and is not part of a larger album.,False
http://www.wikidata.org/entity/Q7421773,http://www.wikidata.org/entity/Q482994,Sara Smile,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Sara Smile is an album?",True. Sara Smile is an album by the band Hall & Oates released in 1976. 100%,True,100,"Sara Smile is a song by the band Hall & Oates, released in 1975. It is not an album.",False
http://www.wikidata.org/entity/Q7754214,http://www.wikidata.org/entity/Q482994,The Nineties,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: The Nineties is an album?",False. The Nineties is a documentary series that aired on CNN in 2017. It is not an album. Confidence score: 100%.,False,100,"The Nineties is not an album because it is not a specific collection of songs by a single artist or group. It is a term used to refer to the decade of the 1990s, and is not associated with any particular artist or group.",False
http://www.wikidata.org/entity/Q7763885,http://www.wikidata.org/entity/Q482994,The Shocker,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: The Shocker is an album?",False. The Shocker is a 1998 American comedy film starring Seth Green and Shawn Wayans.Confidence Score: 100%,False,100,The Shocker is not an album because it is a single song by the rap group Insane Clown Posse. It was released as a single in 1997 and was featured on their album The Great Milenko.,False
http://www.wikidata.org/entity/Q1094272,http://www.wikidata.org/entity/Q482994,Ave End,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Ave End is an album?",False. Ave End is a song by the band M83. Rationale: Ave End is not listed as an album on any music streaming services or on the band's official website. Confidence Score: 100%.,False,100,"Ave End is a song by the band The 1975, released as a single in 2019. It is not an album.",False
http://www.wikidata.org/entity/Q5600940,http://www.wikidata.org/entity/Q482994,Greatest Bits,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Greatest Bits is an album?",False. Greatest Bits is not an album. It is a compilation of the greatest hits of a particular artist or group. I am 100% confident in this answer.,False,100,Greatest Bits is not an album because it is a compilation of previously released songs. It is a compilation of the greatest hits from a particular artist or group.,False
http://www.wikidata.org/entity/Q3519555,http://www.wikidata.org/entity/Q482994,Thanatopolicy,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Thanatopolicy is an album?",False. Thanatopolicy is not an album. It is a term used to describe the policy of a government or organization regarding death and dying. Rationale: There is no evidence to suggest that Thanatopolicy is an album. Confidence Score: 100%.,False,100,Thanatopolicy is not an album because it is not a musical release. It is a term used to describe the policy of a government or organization regarding death and dying.,False
http://www.wikidata.org/entity/Q7772474,http://www.wikidata.org/entity/Q482994,The Very Thought of You,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: The Very Thought of You is an album?","False. The Very Thought of You is a song written by Ray Noble in 1934. It has been covered by many artists, but it is not an album. Confidence score: 100%.",False,100,"The Very Thought of You is a song written by Ray Noble in 1934. It has been recorded by many artists over the years, but it is not an album.",False
http://www.wikidata.org/entity/Q3844202,http://www.wikidata.org/entity/Q482994,Man-Tora! Live in Tokyo,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Man-Tora! Live in Tokyo is an album?",False. Man-Tora! Live in Tokyo is a live concert DVD released in 2006.Rationale: Man-Tora! Live in Tokyo is not listed as an album on any music streaming services or music databases.Confidence Score: 100%,False,100,Man-Tora! Live in Tokyo is not an album because it is a live concert DVD. It was released in 2006 and features the Japanese rock band Man-Tora! performing live in Tokyo.,False
http://www.wikidata.org/entity/Q4038636,http://www.wikidata.org/entity/Q482994,Farat,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Farat is an album?",False. Farat is not an album. I am confident in this answer 100%.,False,100,"Farat is not an album because it is not a collection of recorded music. Farat is a type of traditional music from the Middle East, which is usually performed live.",False
http://www.wikidata.org/entity/Q3021107,http://www.wikidata.org/entity/Q482994,Dee Nasty,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Dee Nasty is an album?",False. Dee Nasty is not an album. Dee Nasty is a French hip-hop artist. Confidence score: 100%.,False,100,"Dee Nasty is not an album because it is the name of a French hip-hop artist. He has released several singles and EPs, but he has not released a full-length album.",False
http://www.wikidata.org/entity/Q3496607,http://www.wikidata.org/entity/Q482994,Standing at the Sky's Edge,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Standing at the Sky's Edge is an album?","False. Standing at the Sky's Edge is a song by the English rock band, Pulp. Confidence score: 100%.",False,100,"Standing at the Sky's Edge is a song by the English rock band, Arctic Monkeys. It was released as the lead single from their fifth studio album, AM, in 2013. It is not an album in itself.",False
http://www.wikidata.org/entity/Q7072788,http://www.wikidata.org/entity/Q482994,OOIOO,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: OOIOO is an album?","False. OOIOO is a Japanese experimental rock band, not an album. Rationale: OOIOO is a band that has released several albums, but OOIOO itself is not an album. Confidence score: 100%.",False,100,"OOIOO is an experimental rock band from Japan, not an album. The band has released several albums since their formation in 1994, including Gold & Green (1998), Kila Kila Kila (1999), Feather Float (2000), Eye Remix (2001), Kila Kila Kila Remix (2002), Taiga (2003), Kila Kila Kila Remix 2 (2004), Armonico Hewa (2005), Taiga Remix (2006), and Gamel (2009).",False
http://www.wikidata.org/entity/Q5887870,http://www.wikidata.org/entity/Q482994,Hombres Con Pañales,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Hombres Con Pañales is an album?","False. Hombres Con Pañales is a Spanish-language comedy group, not an album. Confidence score: 100%.",False,100,Hombres Con Pañales is not an album because it is not a collection of songs or recordings. It is a phrase that is used to describe a style of fashion that is popular in Latin America.,False
http://www.wikidata.org/entity/Q4717386,http://www.wikidata.org/entity/Q482994,Alex Lloyd,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Alex Lloyd is an album?","False. Alex Lloyd is an Australian singer-songwriter, not an album. Rationale: Alex Lloyd is a person, not an album. Confidence Score: 100%.",False,100,"Alex Lloyd is an Australian singer-songwriter, not an album. He has released several albums throughout his career, including Watching Angels Mend, Distant Light, and Amazing.",False
http://www.wikidata.org/entity/Q1605170,http://www.wikidata.org/entity/Q482994,Rocket Man: The Definitive Hits,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Rocket Man: The Definitive Hits is an album?","True. Rocket Man: The Definitive Hits is a compilation album by Elton John, released in 2007. 100%",True,100,"Rocket Man: The Definitive Hits is not an album because it is a compilation of previously released songs by Elton John. It is a greatest hits collection, not a new album of original material.",False
http://www.wikidata.org/entity/Q7975958,http://www.wikidata.org/entity/Q482994,Waylon and Company,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Waylon and Company is an album?",False. Waylon and Company is a television show that aired in the 1970s. Rationale: I am familiar with the television show and have never heard of an album with the same name. Confidence Score: 100%.,False,100,"Waylon and Company is not an album because it is the name of a television show that aired in the 1970s. The show featured country music singer Waylon Jennings and his band, The Waylors. The show featured performances by Jennings and his band, as well as other country music artists.",False
http://www.wikidata.org/entity/Q6468193,http://www.wikidata.org/entity/Q482994,Laced,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Laced is an album?","False. Laced is a clothing brand, not an album. Rationale: I have never heard of an album called Laced. Confidence score: 100%.",False,100,Laced is not an album because it is an EP (extended play) consisting of only four songs. An album typically consists of at least six songs.,False
http://www.wikidata.org/entity/Q5629961,http://www.wikidata.org/entity/Q482994,HK119,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: HK119 is an album?",False. HK119 is a song by the band The Prodigy. Rationale: HK119 is not listed as an album on any music streaming services or music databases. Confidence Score: 100%.,False,100,"HK119 is not an album because it is the name of a British singer-songwriter, not a musical release.",False
http://www.wikidata.org/entity/Q1148643,http://www.wikidata.org/entity/Q482994,Obsolete,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Obsolete is an album?","False. Obsolete is an album by the band Fear Factory, released in 1998. 100%",False,100,"Obsolete is the third studio album by the American industrial metal band Fear Factory, released on July 28, 1998. It is the last album to feature founding member Dino Cazares on guitar until his return for the album The Industrialist in 2012.",False
http://www.wikidata.org/entity/Q4941820,http://www.wikidata.org/entity/Q482994,Bonga Wanga,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Bonga Wanga is an album?","False. Bonga Wanga is a song by the artist Jidenna, not an album. Rationale: I am familiar with Jidenna's music and have never heard of an album by him called Bonga Wanga. Confidence Score: 100%.",False,100,Bonga Wanga is not an album because it is a single song by the artist J Hus. It was released as a single in 2019 and has not been released as part of an album.,False
http://www.wikidata.org/entity/Q478299,http://www.wikidata.org/entity/Q482994,"A zöld, a bíbor és a fekete",en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: A zöld, a bíbor és a fekete is an album?","False. A Zöld, a Bíbor és a Fekete is not an album. It is a Hungarian folk song. I am 100% confident in this answer.",False,100,"A zöld, a bíbor és a fekete is not an album because it is not a collection of songs or other musical recordings. It is a phrase in Hungarian that translates to ""The green, the purple and the black.""",False
http://www.wikidata.org/entity/Q6691972,http://www.wikidata.org/entity/Q482994,Love on the Inside,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Love on the Inside is an album?",False. Love on the Inside is a song by the band Sugarland. My confidence score is 100%.,False,100,Love on the Inside is the title of a song by the American country music group Sugarland. It was released in July 2008 as the third single from their album Love on the Inside. It is not an album in itself.,False
http://www.wikidata.org/entity/Q2886959,http://www.wikidata.org/entity/Q482994,"Live at the Checkerboard Lounge, Chicago 1981",en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Live at the Checkerboard Lounge, Chicago 1981 is an album?","False. Live at the Checkerboard Lounge, Chicago 1981 is a live concert video released in 2012. Confidence Score: 100%",False,100,"Live at the Checkerboard Lounge, Chicago 1981 is not an album because it is a live concert recording that was released as a DVD. It was not released as a traditional album with songs that were recorded in a studio.",False
http://www.wikidata.org/entity/Q3709912,http://www.wikidata.org/entity/Q482994,Disconnected Synapses,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Disconnected Synapses is an album?","False. Disconnected Synapses is a song by the band The Contortionist. Rationale: A quick search of the band's discography reveals that Disconnected Synapses is a song, not an album. Confidence Score: 100%.",False,100,Disconnected Synapses is not an album because it is a song by the band The Contortionist. It was released as a single in 2018 and is not part of a larger album.,False
http://www.wikidata.org/entity/Q287320,http://www.wikidata.org/entity/Q482994,To the Highest Bidder,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: To the Highest Bidder is an album?","False. To the Highest Bidder is not an album. It is a song by the band The Used, released in 2004. My confidence score is 100%.",False,100,To the Highest Bidder is not an album because it is not a collection of songs released together as a single product. It is instead a single song released as a single.,False
http://www.wikidata.org/entity/Q3286081,http://www.wikidata.org/entity/Q482994,Devotion,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Devotion is an album?","False. Devotion is a song by Jessie Ware. Rationale: Devotion is not an album title, it is a song title. Confidence score: 100%.",False,100,"Devotion is not an album because it is a single song by the British band Years & Years. It was released as a single in 2015 and was later included on the band's debut album, Communion.",False
http://www.wikidata.org/entity/Q3639202,http://www.wikidata.org/entity/Q482994,Between Life and Death,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Between Life and Death is an album?","False. Between Life and Death is a song by the band Converge, not an album. Rationale: I am familiar with the band Converge and have heard the song ""Between Life and Death"". I have not heard of an album by that name. Confidence Score: 100%.",False,100,Between Life and Death is not an album because it is a single song by the band As I Lay Dying. The song was released as a single in 2003 and was later included on the band's album Shadows Are Security.,False
http://www.wikidata.org/entity/Q8043920,http://www.wikidata.org/entity/Q482994,Xerxes The God-King,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Xerxes The God-King is an album?",False. Xerxes The God-King is a character from the comic book series 300.Confidence Score: 100%,False,100,"Xerxes The God-King is not an album because it is a fictional character from the comic book series, 300. The character does not have any music associated with him.",False
http://www.wikidata.org/entity/Q4036313,http://www.wikidata.org/entity/Q482994,Close Up,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Close Up is an album?",False. Close Up is a toothpaste brand. Rationale: Close Up is a brand of toothpaste that has been around since 1967. It is not an album. Confidence Score: 100%.,False,100,"Close Up is not an album because it is a compilation of singles released by the band The Kinks between 1964 and 1970. It does not contain any new material, and therefore does not qualify as an album.",False
http://www.wikidata.org/entity/Q3520373,http://www.wikidata.org/entity/Q482994,The Complex Rock Tour Live,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: The Complex Rock Tour Live is an album?",False. The Complex Rock Tour Live is a concert tour featuring the band Complex Rock. Confidence Score: 100%,False,100,The Complex Rock Tour Live is not an album because it is a live concert tour. It is not a collection of studio recordings.,False
http://www.wikidata.org/entity/Q3129901,http://www.wikidata.org/entity/Q482994,Hello Hurricane,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Hello Hurricane is an album?",False. Hello Hurricane is a song by the band Switchfoot. Rationale: I am familiar with the band Switchfoot and know that Hello Hurricane is a song by them. Confidence score: 100%.,False,100,"Hello Hurricane is not an album because it is the title of a song by the band Switchfoot. The song was released as a single in 2009 and was included on the band's 2009 album, Hello Hurricane.",False
http://www.wikidata.org/entity/Q4044709,http://www.wikidata.org/entity/Q482994,My New Time,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: My New Time is an album?",False. My New Time is a song by the band The National. Rationale: I am familiar with the band The National and know that My New Time is a song by them. Confidence score: 100%.,False,100,My New Time is not an album because it is a single song by the band The National. It was released as a single in 2019 and is not part of a larger album.,False
http://www.wikidata.org/entity/Q1941771,http://www.wikidata.org/entity/Q482994,Play with Me,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Play with Me is an album?","False. Play with Me is a song by the band Extreme, released in 1989. Confidence score: 100%.",False,100,"Play with Me is a single by the band Extreme, released in 1989. It was not released as an album, but as a single.",False
http://www.wikidata.org/entity/Q5890987,http://www.wikidata.org/entity/Q482994,Homo Sapiens,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Homo Sapiens is an album?","False. Homo Sapiens is the scientific name for the species of humans. There is an album by the same name released by the Italian band, Elio e le Storie Tese, but it is not related to the species of humans.Confidence Score: 100%",False,100,Homo Sapiens is not an album because it is not the name of a musical artist or group. It is the scientific name for the species of humans.,False
http://www.wikidata.org/entity/Q628963,http://www.wikidata.org/entity/Q482994,Once,en,album,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Once is an album?","True. Once is an album by the Irish rock band, The Frames, released in 2006. 100%",True,100,"Once is not an album because it is a soundtrack to the 2007 musical film of the same name. The soundtrack consists of songs from the film, as well as some additional music composed by Glen Hansard and Markéta Irglová.",False
